filename,min_dist,I_sc
TER_0153.pdb,18.2135,-9.5610
TER_0154.pdb,23.3051,-10.4080
TER_0155.pdb,15.0667,-6.4650
TER_0156.pdb,15.9024,-10.9610
TER_0157.pdb,19.0196,-21.6130
TER_0158.pdb,25.6435,-13.8010
TER_0159.pdb,23.7374,-15.0540
TER_0160.pdb,18.9228,-2.4510
TER_0161.pdb,40.5012,0.0000
TER_0162.pdb,17.9227,-11.6150
TER_0163.pdb,24.8237,-9.2560
TER_0164.pdb,24.1576,-8.1260
TER_0165.pdb,11.4641,-18.2670
TER_0166.pdb,15.8633,-18.4330
TER_0167.pdb,12.8495,-12.4450
TER_0168.pdb,18.9716,-8.2250
TER_0169.pdb,22.2598,-10.7430
TER_0170.pdb,15.6980,-10.5770
TER_0171.pdb,10.1848,-13.3090
TER_0172.pdb,23.4285,-10.4420
TER_0173.pdb,23.0042,-18.2730
TER_0174.pdb,18.8603,-10.1570
TER_0175.pdb,24.9644,-7.3370
TER_0176.pdb,16.5468,-8.2790
TER_0177.pdb,15.1735,-14.2030
TER_0178.pdb,79.2595,0.0000
TER_0179.pdb,21.0615,-5.0270
TER_0180.pdb,12.0129,-18.1920
TER_0181.pdb,15.4351,-8.2440
TER_0182.pdb,31.4879,-7.9280
TER_0183.pdb,15.9659,-9.1340
TER_0184.pdb,12.8286,-17.5930
TER_0185.pdb,13.3950,-17.4890
TER_0186.pdb,16.7836,-9.2430
TER_0187.pdb,15.6477,-10.8840
TER_0188.pdb,25.8036,-8.7690
TER_0189.pdb,24.1341,-11.7060
TER_0190.pdb,14.2924,-7.4170
TER_0191.pdb,17.8361,-10.6750
TER_0192.pdb,21.8955,-17.0710
TER_0193.pdb,16.2407,-11.0990
TER_0194.pdb,14.4779,-15.8120
TER_0195.pdb,23.4399,-13.4150
TER_0196.pdb,22.3929,-13.5660
TER_0197.pdb,15.7359,-14.4460
TER_0198.pdb,13.5654,-14.6580
TER_0199.pdb,17.7763,-17.4830
TER_0200.pdb,21.9133,-11.4990
TER_0201.pdb,24.5747,-7.6520
TER_0202.pdb,10.5739,-10.8730
TER_0203.pdb,14.6473,-18.6900
TER_0204.pdb,12.9301,-10.7180
TER_0205.pdb,13.3127,-8.0990
TER_0206.pdb,20.4826,-0.0020
TER_0207.pdb,14.1556,-20.3320
TER_0208.pdb,15.8671,-14.7070
TER_0209.pdb,13.8832,-16.5820
TER_0210.pdb,19.1297,-6.6010
TER_0211.pdb,11.4083,-11.9600
TER_0212.pdb,14.8489,-13.0610
TER_0213.pdb,10.7485,-13.5300
TER_0214.pdb,16.0021,-9.7010
TER_0215.pdb,11.9969,-22.3910
TER_0216.pdb,13.0859,-5.7380
TER_0217.pdb,24.3104,-17.7220
TER_0218.pdb,12.7996,-18.3970
TER_0219.pdb,23.7490,-17.7540
TER_0220.pdb,27.0420,-0.0470
TER_0221.pdb,11.2667,-16.8190
TER_0222.pdb,20.2373,-11.9550
TER_0223.pdb,28.9798,-15.0980
TER_0224.pdb,14.8010,-16.1240
TER_0225.pdb,14.7120,-20.3780
TER_0226.pdb,17.1844,-13.2830
TER_0227.pdb,17.6594,-12.9300
TER_0228.pdb,18.7581,-9.8160
TER_0229.pdb,16.8945,-14.2810
TER_0230.pdb,14.6852,-16.7830
TER_0231.pdb,11.9394,-12.7820
TER_0232.pdb,14.9566,-11.1500
TER_0233.pdb,19.5256,-14.3380
TER_0234.pdb,26.6650,-8.5420
TER_0235.pdb,25.2973,-0.0010
TER_0236.pdb,13.5144,-14.9660
TER_0237.pdb,14.8672,-17.1760
TER_0238.pdb,11.1360,-9.3250
TER_0239.pdb,18.9141,-12.4620
TER_0240.pdb,10.8584,-10.3490
TER_0241.pdb,16.1781,-9.7290
TER_0242.pdb,13.5945,-14.9270
TER_0243.pdb,20.0065,-16.2220
TER_0244.pdb,17.4822,-20.6540
TER_0245.pdb,11.0988,-18.4980
TER_0246.pdb,16.0711,-10.0290
TER_0247.pdb,26.5308,-12.2620
TER_0248.pdb,11.1219,-10.8750
TER_0249.pdb,14.6633,-12.5240
TER_0250.pdb,48.9830,0.0000
TER_0251.pdb,23.4412,-0.4210
TER_0252.pdb,15.4081,-11.5720
TER_0253.pdb,23.5601,-6.5370
TER_0254.pdb,12.8676,-12.2920
TER_0255.pdb,21.9929,-6.3860
TER_0256.pdb,21.1231,-8.0630
TER_0257.pdb,20.9267,-18.4790
TER_0258.pdb,15.2510,-14.1390
TER_0259.pdb,16.7013,-14.3340
TER_0260.pdb,15.9332,-15.4460
TER_0261.pdb,15.2145,-13.4510
TER_0262.pdb,18.9410,-8.1930
TER_0263.pdb,12.9516,-11.8170
TER_0264.pdb,13.4078,-8.7970
TER_0265.pdb,13.4668,-11.7410
TER_0266.pdb,24.8811,-6.0780
TER_0267.pdb,16.6756,-12.9730
TER_0268.pdb,16.7834,-7.3780
TER_0269.pdb,16.8546,-7.9040
TER_0270.pdb,12.2540,-11.2750
