,r1_smiles,r1HitCount,r2_smiles,r2HitCount,r3_smiles,r3HitCount,r1r2_smiles,r1r2HitCount,r1r3_smiles,r1r3HitCount,r2r3_smiles,r2r3HitCount,r1r2r3_smiles,r1r2r3HitCount
45,,,NCCNCc1ccccc1,2.375460971112477,OC(=O)C(Cc1ccccc1)N2C(=O)OCCC2,5.633873693915182,O=C(O)CCCCC=O-Cl.NCC1C(=O)Nc2c(cccc2)C1,19.13133835279656,O=C1C2=C(C=CC(C#CC=O)=C2)CN1CCCC(O)=O-OC(=O)c1ccc(cc1)C2NC(=O)OC=2,39.63055086047941,Cl.NCC1C(=O)Nc2c(cccc2)C1-O=C=NCCCc1ccccc1,14.41465311923786,OC(CCC(C=C1)=CC=C1C2=CC=C(C=O)C=N2)=O-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cc(ccc1)c2nnnn2,8.383422326367548
46,,,Oc1c(N)cc(cc1)c2ccccc2,2.375460971112477,OC(=O)C1=NN(Cc2occc2)C(=O)C=C1,5.481148202212662,O=C1C2=C(C=C(C=O)C=C2)N=C(C)N1CCCC(O)=O-Nc1cc(nn1)c2occc2,18.08144783343577,O=C(N1CCCC(O)=O)C2=C3C1=CC=CC3=C(C=O)C=C2-O=C1Oc2c(ccc(S(=O)(=O)Cl)c2)N1,37.0318262138906,Cl.NCC1C(=O)Nc2c(cccc2)C1-OC(=O)CN1c2c(cccc2)OC(F)(F)C1=O,14.063076213890596,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1c(C)nn(c1)c2ccc(F)cc2,7.984211739397664
47,,,CCc1c2c(nnc2N)n(C)n1,2.3451617240319607,OC(=O)c1cc(cnc1)C(F)F,5.481148202212662,OC(CCCN1CC2=C(C=CC(N3CCC(C=O)C3)=C2)C1=O)=O-Cl.NC[C@@H]1O[C@H](CC1)c2ccccc2,17.614829824830977,OC(CCC(C=C1)=CC=C1C2=CC=C(C=O)C=N2)=O-O=C1Oc2c(ccc(S(=O)(=O)Cl)c2)N1,37.0318262138906,Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cn(nc1)c2c(OC)cccc2,14.063076213890596,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=C=NCCCc1ccccc1,7.984211739397664
48,,,Nc1cc(nn1)c2sccc2,2.326982175783651,OC(=O)c1c2n(ccnc2)c(n1)C(F)(F)F,5.396300706822372,OC(CCCN(CC1=C2C=CC(C3=CC(C=O)=CC=C3)=C1)C2=O)=O-NCc1n2c(nn1)ccc(C(F)(F)F)c2,17.031557314074984,O=C(O)CCC1=CC=CC(C2=CN=C(C=O)C=C2)=C1-O=C1Oc2c(ccc(S(=O)(=O)Cl)c2)N1,36.38214505224339,Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cc(no1)c2cc(F)ccc2,14.063076213890596,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Cl.NCC1C(=O)Nc2c(cccc2)C1-CCSc1ncc(C=O)cn1,7.984211739397664
49,,,Fc1ccc(cc1)C(N)c2nccn2,2.320922326367548,OC(=O)Cc1cc(nn1)C(F)(F)F,4.95509373079287,O=C(O)CCCCC=O-Nc1cc(nn1)c2occc2,17.031557314074984,O=C1C2=C(C=C(C=C2)C=O)CN1CCCC(O)=O-OC(=O)C1CCN(CC1)c2n3c(nnn3)cnc2,36.16558466502766,Cl.CC(N)c1nc(on1)Cc2c3c(cccc3)on2-NC(=O)c1cc(Cl)ncn1,14.063076213890596,O=C1C2=C(C=C(N3CCC(C([H])=O)CC3)C=C2)N=C(C)N1CCCC(O)=O-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cc(ccc1)c2nnnn2,7.984211739397664
50,,,Cl.Cl.NCc1c(C)n(c2cnccc2)c(C)c1,2.3027427781192378,OC(=O)c1cc2c(nnc(C)c2C)cc1,4.836307237246466,O=C(N1CCCC(O)=O)C2=C3C1=CC=CC3=C(C=O)C=C2-Cl.Cl.O1CCN(CC1)[C@H]2[C@H](N)C2,16.91490281192379,OC(CCCC1=CC(C=O)=CC=C1)=O-O=C1Oc2c(ccc(S(=O)(=O)Cl)c2)N1,36.16558466502766,Nc1nn(Cc2ccccc2)c(C)c1-n1nc(nn1)c2ccc(cc2)S(=O)(=O)Cl,13.711499308543331,O=C1C2=C(C=CC(N3CCC(C=O)CC3)=C2)N=C(C)N1CCCC(O)=O-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cc(cnc1)c2ccc(F)cc2,7.585001152427781
51,,,Cl.COC(=O)C(N)Cc1oc2c(cccc2)c1,2.2785033804548247,OC(=O)c1c2c(OCO2)ccc1F,4.836307237246466,OC(CCCN1CC2=C(C=C(C=C2)N3CCC(C=O)CC3)C1=O)=O-Nc1cc(nn1)c2occc2,16.56493930547019,O=C(O)CCCCC=O-O=C1Oc2c(ccc(S(=O)(=O)Cl)c2)N1,33.99998079287032,CCC(N)c1n(ccn1)Cc2ccccc2-OC(=O)Cn1cc(Cl)cn1,13.711499308543331,OC(CCCN(CC1=C2C=CC(C3=CC(C=O)=CC=C3)=C1)C2=O)=O-NCc1n2c(nn1)ccc(C(F)(F)F)c2-O=Cc1c(cccc1)N2CCN(C)CC2,7.585001152427781
52,,,NCc1n2c(nn1)ccc(C(F)(F)F)c2,2.242144283958205,OC(=O)c1cc2c(CCC(=O)N2)cc1,4.802368239090351,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-NCc1nc(sc1)c2sccc2,16.448284803318995,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-CCCNS(=O)(=O)c1ccc(C(O)=O)cc1,32.91717885679164,Cl.NCC1C(=O)Nc2c(cccc2)C1-OC(=O)CCN1C(=O)c2c(cccc2)S1,13.711499308543331,OC(CCCCCCN1CCC(CC1)=O)=O-CC(C)(C)OC(=O)N1CCNCCC1-OC(=O)c1cc(ccc1)n2nccc2,7.585001152427781
53,,,Cl.Cl.NCc1nc2c(cc(C)cc2)n1,2.205785187461586,OC(=O)c1nc2c(ccn2)cc1,4.751459741856177,O=C1C2=C(C=CC(N3CCC(C=O)C3)=C2)CN1CCCC(O)=O-COc1cc2c(CC(N)C(O)=O)cnc2cc1,16.098321296865397,OC(CCC(C=C1)=CC=C1C2=CN=C(C=O)C=C2)=O-O=C1Oc2c(ccc(S(=O)(=O)Cl)c2)N1,32.26749769514444,Cl.NCC1C(=O)Nc2c(cccc2)C1-OC(=O)C1=NN(C(=O)CC1)c2cc(F)ccc2,13.359922403196066,OC(CCCN1CC2=C(C=C(C=C2)C=O)C1=O)=O-Cl.NCC1C(=O)Nc2c(cccc2)C1-O=Cc1cc(ccc1)c2nnnn2,7.585001152427781
54,,,NCc1cc(Cl)c(cc1)OC(F)(F)F,2.1270071450522434,OC(=O)c1c2n(C=CNC2=O)nc1C,4.700551244622004,OC(CCC(C=C1)=CC=C1C2=CN=C(C=O)C=C2)=O-COC(=O)C(N)Cc1c2c(cccc2F)nc1,15.515048786109404,O=C1C2=C(C=C(C=O)C=C2)N=NN1CCCC(O)=O-OC(=O)c1nc2c(cc1)C(=O)NC=C2,32.0509373079287,NCc1cc(Cl)c(cc1)OC(F)(F)F-OC(=O)c1nc2c(cc1)C(=O)NC=C2,13.359922403196066,O=C(N1CCC(C=O)CC1)C2=CC=C(N3CCCN(CCCCCC(O)=O)C3=O)C=C2-Nc1cnc(cc1)N2C(=O)CC(=N2)C3CC3-X,7.585001152427781
